date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:46	58/58	---M--	200	added ('OK')	text	date:Wed,%2002%20Jul%202025%2016:59:40%20GMT	http://andreaazzola.com/robots.txt		(from )
18:59:47	17807/17807	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Jul%202025%2016:59:40%20GMT	http://andreaazzola.com/	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/andreaazzola.com/index.html	(from )
18:59:47	2614/2614	---M--	200	added ('OK')	image/png	etag:%220f0d7ee2351d21:0%22	http://andreaazzola.com/images/favicon.png	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/andreaazzola.com/images/favicon.png	(from http://andreaazzola.com/)
18:59:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2002%20Jul%202025%2016:59:41%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/www.googletagmanager.com/gtm.15445.delayed	(from http://andreaazzola.com/)
18:59:48	69309/69309	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10ebd%22	http://code.jquery.com/jquery-3.1.1.slim.min.js	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/code.jquery.com/jquery-3.1.1.slim.min.js	(from http://andreaazzola.com/)
18:59:48	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%22ec3bb52a00e176a7181d454dffaea219%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://andreaazzola.com/)
18:59:49	23409/23409	---MCZ	200	added ('OK')	text/css	etag:W/%22ab6b02efeaf178e0247b9504051472fb%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap-theme.min.css	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap-theme.min.css	(from http://andreaazzola.com/)
18:59:49	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%225869c96cc8f19086aee625d670d741f9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://andreaazzola.com/)
18:59:50	17194/17194	---M-Z	200	added ('OK')	text/css	etag:%221ee2ff1b4cfdd71:0%22	http://andreaazzola.com/App_Themes/Ichigo/languages.min.css	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/andreaazzola.com/App_Themes/Ichigo/languages.min.css	(from http://andreaazzola.com/)
18:59:50	7400/7400	---M-Z	200	added ('OK')	text/css	etag:%224bd395b5212d81:0%22	http://andreaazzola.com/App_Themes/Ichigo/StyleSheet.css	C:/Users/andre/Downloads/My%20Websites/Andrea%20Azzola/andreaazzola.com/App_Themes/Ichigo/StyleSheet.css	(from http://andreaazzola.com/)
